id,ville,adresse,dist_km,brand,source,osm,osm_tags,match_m,shared
69200003,VéNISSIEUX,38 rue du moulin à vent,4.09,,unmatched,,,,
69007008,LYON,AVENUE TONY GARNIER,4.15,TotalEnergies,recognised,node/25214045,brand=TotalEnergies | name=Total Access,80,
69007009,LYON,AVENUE TONY GARNIER,4.24,Total Access,recognised,node/571833146,brand=Total Access | operator=Total | name=Total Access,62,
69160001,TASSIN-LA-DEMI-LUNE,35 AVENUE GENERAL BROSSET,4.31,Auchan,recognised,node/252155883,brand=Auchan | operator=Auchan | name=Auchan,33,
69350003,LA MULATIERE,66 RUE STEPHANE DECHANT,4.52,TotalEnergies,recognised,node/917259723,brand=Total | operator=Total | name=Total,77,
69005002,LYON,131 Rue Joliot-Curie,4.54,Eni,recognised,node/2308064621,brand=Eni | operator=Eni | name=Eni,117,
69005005,LYON 5EME,165 RUE JOLIOT CURIE,4.69,Avia,recognised,way/835788716,brand=Avia | operator=Avia | name=Avia,37,
69130003,Écully,28 Avenue Édouard Aynard,4.7,Esso Express,recognised,node/1451946902,brand=Esso Express | name=Esso Express,62,
69300001,Caluire-et-Cuire,10 Chemin Jean Petit,4.9,Auchan,recognised,way/50234751,brand=Auchan,9,
69008008,LYON,86 AVENUE JEAN MERMOZ,4.92,,unmatched,,,,
69100032,Villeurbanne,"112 B, RUE LEON BLUM",5.09,Eni,recognised,node/1789602613,brand=Eni | name=Eni Villeurbanne Blum,34,
69500011,Bron,250 ROUTE DE GENAS,5.16,Avia,recognised,node/280707164,brand=Avia | operator=Avia | name=Avia,30,
