day,fuel,ceiling,nat_n,nat_cap,nat_below,loc_n,loc_cap,loc_below
2025-03-23,SP98,1.99,7920,58,7640,253,5,220
2025-03-24,E10,1.99,7371,1,7327,248,1,246
2025-03-24,Gazole,2.25,9421,0,9419,258,0,257
2025-03-24,SP98,1.99,7923,56,7643,253,5,220
2025-03-25,E10,1.99,7374,2,7331,248,1,246
2025-03-25,Gazole,2.25,9425,0,9423,258,0,257
2025-03-25,SP98,1.99,7925,69,7625,253,5,218
2025-03-26,E10,1.99,7376,2,7332,248,1,246
2025-03-26,Gazole,2.25,9429,0,9427,258,0,257
2025-03-26,SP98,1.99,7926,73,7619,253,4,214
2025-03-27,E10,1.99,7376,2,7327,248,1,245
2025-03-27,Gazole,2.25,9428,0,9426,258,0,257
2025-03-27,SP98,1.99,7926,77,7605,253,4,211
2025-03-28,E10,1.99,7379,2,7327,248,1,245
2025-03-28,Gazole,2.25,9430,0,9428,258,0,257
2025-03-28,SP98,1.99,7928,82,7596,253,4,211
2025-03-29,E10,1.99,7379,2,7326,248,1,245
2025-03-29,Gazole,2.25,9430,0,9428,259,0,258
2025-03-29,SP98,1.99,7929,85,7587,254,4,208
2025-03-30,E10,1.99,7380,2,7327,248,1,245
2025-03-30,Gazole,2.25,9430,0,9428,259,0,258
2025-03-30,SP98,1.99,7929,85,7587,254,4,208
2025-03-31,E10,1.99,7382,2,7328,248,1,246
2025-03-31,Gazole,2.25,9433,0,9431,259,0,258
2025-03-31,SP98,1.99,7932,85,7587,254,4,207
2025-04-01,E10,1.99,7383,2,7309,248,1,246
2025-04-01,Gazole,2.25,9434,0,9432,259,0,258
2025-04-01,SP98,1.99,7933,86,7583,254,4,208
2025-04-02,E10,1.99,7385,2,7307,248,1,245
2025-04-02,Gazole,2.25,9434,0,9432,259,0,258
2025-04-02,SP98,1.99,7934,112,7553,254,26,185
2025-04-03,E10,1.99,7385,2,7304,248,1,245
2025-04-03,Gazole,2.25,9435,0,9433,259,0,258
2025-04-03,SP98,1.99,7936,130,7531,254,41,169
2025-04-04,E10,1.99,7388,2,7311,248,1,246
2025-04-04,Gazole,2.25,9438,0,9436,259,0,258
2025-04-04,SP98,1.99,7939,88,7573,254,4,206
2025-04-05,E10,1.99,7386,2,7330,248,1,246
2025-04-05,Gazole,2.25,9437,0,9435,259,0,258
2025-04-05,SP98,1.99,7938,74,7589,254,4,207
2025-04-06,E10,1.99,7385,2,7329,248,1,246
2025-04-06,Gazole,2.25,9436,0,9434,259,0,258
2025-04-06,SP98,1.99,7937,74,7589,254,4,207
2025-04-07,E10,1.99,7386,2,7340,249,1,247
2025-04-07,Gazole,2.25,9436,0,9434,259,0,258
2025-04-07,SP98,1.99,7938,74,7606,253,4,210
2025-04-08,E10,1.99,7390,2,7350,250,1,249
2025-04-08,Gazole,2.25,9437,0,9435,259,0,258
2025-04-08,SP98,1.99,7940,67,7624,254,3,215
2025-04-09,E10,1.99,7392,2,7354,250,1,249
2025-04-09,Gazole,2.25,9439,0,9437,259,0,258
2025-04-09,SP98,1.99,7943,52,7652,254,3,216
2025-04-10,E10,1.99,7393,4,7377,250,1,249
2025-04-10,Gazole,2.25,9442,0,9440,260,0,259
2025-04-10,SP98,1.99,7944,28,7706,255,3,222
2025-04-11,E10,1.99,7393,2,7356,250,1,249
2025-04-11,Gazole,2.25,9443,0,9441,260,0,259
2025-04-11,SP98,1.99,7945,27,7720,255,3,226
2025-04-12,E10,1.99,7393,2,7355,250,1,249
2025-04-12,Gazole,2.25,9443,0,9441,260,0,259
2025-04-12,SP98,1.99,7945,23,7739,255,3,231
2025-04-13,E10,1.99,7393,2,7355,250,1,249
2025-04-13,Gazole,2.25,9443,0,9441,260,0,259
2025-04-13,SP98,1.99,7945,23,7740,255,3,231
2025-04-14,E10,1.99,7395,3,7366,250,1,249
2025-04-14,Gazole,2.25,9446,0,9444,260,0,259
2025-04-14,SP98,1.99,7945,21,7751,255,3,232
2025-04-15,E10,1.99,7399,2,7361,251,1,250
2025-04-15,Gazole,2.25,9450,0,9448,260,0,259
2025-04-15,SP98,1.99,7947,13,7791,255,3,233
2025-04-16,E10,1.99,7401,2,7363,251,1,250
2025-04-16,Gazole,2.25,9451,0,9449,260,0,259
2025-04-16,SP98,1.99,7948,12,7807,255,3,236
2025-04-17,E10,1.99,7405,1,7368,251,1,250
2025-04-17,Gazole,2.25,9454,0,9452,260,0,259
2025-04-17,SP98,1.99,7950,9,7804,255,3,238
2025-04-18,E10,1.99,7406,1,7367,251,1,250
2025-04-18,Gazole,2.25,9454,0,9452,260,0,259
2025-04-18,SP98,1.99,7952,9,7805,255,3,239
2025-04-19,E10,1.99,7406,1,7367,251,1,250
2025-04-19,Gazole,2.25,9454,0,9452,260,0,259
2025-04-19,SP98,1.99,7952,9,7806,255,3,239
2025-04-20,E10,1.99,7405,1,7366,251,1,250
2025-04-20,Gazole,2.25,9454,0,9452,260,0,259
2025-04-20,SP98,1.99,7952,9,7806,255,3,239
2025-04-21,E10,1.99,7405,1,7366,251,1,250
2025-04-21,Gazole,2.25,9455,0,9453,260,0,259
2025-04-21,SP98,1.99,7952,9,7806,255,3,239
2025-04-22,E10,1.99,7407,1,7368,251,1,250
2025-04-22,Gazole,2.25,9458,0,9456,260,0,259
2025-04-22,SP98,1.99,7954,8,7816,255,3,239
2025-04-23,E10,1.99,7408,1,7369,251,1,250
2025-04-23,Gazole,2.25,9461,0,9459,261,0,260
2025-04-23,SP98,1.99,7956,11,7815,256,2,239
2025-04-24,E10,1.99,7410,1,7371,251,1,250
2025-04-24,Gazole,2.25,9462,0,9461,261,0,260
2025-04-24,SP98,1.99,7958,13,7810,256,2,237
2025-04-25,E10,1.99,7414,1,7375,251,1,250
2025-04-25,Gazole,2.25,9464,0,9463,261,0,260
2025-04-25,SP98,1.99,7959,13,7804,256,2,238
2025-04-26,E10,1.99,7414,1,7375,251,1,250
2025-04-26,Gazole,2.25,9464,0,9463,261,0,260
2025-04-26,SP98,1.99,7959,13,7799,256,2,237
