id,ville,adresse,dist_km,brand,source,osm,osm_tags,match_m,shared
92230003,GENNEVILLIERS,21 Rue Louis Calmel,13.1,Carrefour,recognised,node/280999564,brand=Carrefour | name=Carrefour,111,
91230003,Montgeron,72 Avenue Jean Jaurès,13.13,E.Leclerc,recognised,way/149689059,brand=E.Leclerc | operator=E. Leclerc | name=Station Service E. Leclerc,42,
91570004,Bièvres,RN118,13.14,TotalEnergies,recognised,node/199054408,brand=TotalEnergies | name=TotalEnergies,46,
93110006,ROSNY SOUS BOIS,116 AVENUE DU PRESIDENT JOHN KENNEDY,13.15,Avia,recognised,node/9624669157,brand=Avia | name=Avia Xpress,9,
91260002,JUVISY-SUR-ORGE,Avenue Camille Desmoulins,13.18,Intermarché,recognised,way/146555695,brand=Intermarché | operator=Groupement des Mousquetaires | name=Intermarché,53,
93000010,BOBIGNY,54 AVENUE LOUIS ARAGON,13.24,Total Access,recognised,node/3337646100,brand=Total Access | name=Total Access,56,
93360002,Neuilly-Plaisance,3 CHEMIN DE MEAUX,13.27,Élan (TotalEnergies),recognised,node/4919223921,brand=Elan | name=Elan,33,
92420002,VAUCRESSON,18 Boulevard de la République,13.37,Super U,recognised,node/666480630,brand=Super U | operator=Super U | name=Super U,63,
91420002,Morangis,RUE DE SAVIGNY,13.39,Élan (TotalEnergies),recognised,way/92276930,brand=Elan | name=Station Elan,26,
92700023,COLOMBES,64 BD CHARLES DE GAULLE,13.49,Esso,recognised,way/79432214,brand=Esso | name=Esso,34,
93700004,DRANCY,35-39 AVENUE HENRI BARBUSSE,13.55,TotalEnergies,recognised,node/2783229150,brand=Total | name=Relais de Drancy,49,
92390001,Villeneuve-la-Garenne,37 Avenue de Verdun,13.57,Esso,recognised,node/766061410,brand=Esso | name=Esso,33,
92500017,Rueil-Malmaison,155 AVENUE PAUL DOUMER,13.59,,unmatched,,,,
92230008,GENNEVILLIERS,192 Avenue Louis Roche,13.6,E.Leclerc,recognised,node/11879409826,brand=E.Leclerc | operator=E. Leclerc | name=Station Service E. Leclerc,108,
93200008,Saint-Denis,112 AV P. VAILLANT COUTURIER,13.64,BP,recognised,node/3336875297,brand=BP | name=BP,28,
93330005,Neuilly-sur-Marne,9 TER BD MARECHAL FOCH,13.65,TotalEnergies,recognised,way/145455019,brand=Total | name=Total,27,
94500007,Champigny-sur-Marne,156 Rue Alexandre Fourny,13.68,E.Leclerc,recognised,way/109542986,brand=E.Leclerc | operator=E. Leclerc | name=Station Service E. Leclerc,23,
91140002,Villebon-sur-Yvette,CHEMIN DE BRIIS CD 59,13.75,TotalEnergies,recognised,way/972593541,brand=TotalEnergies | name=Total Access,81,
91270003,VIGNEUX-SUR-SEINE,54 Avenue Henri Barbusse,13.76,Esso,recognised,way/145737296,brand=Esso | name=Esso,6,
92230011,GENNEVILLIERS,37 AVENUE LUCIEN LANTERNIER,13.79,Total Access,recognised,node/5644334328,brand=Total Access | name=Total Access,14,
93120004,LA COURNEUVE,AUTOROUTE A1 - AIRE DE LA COURNEUVE EST,13.83,TotalEnergies,recognised,node/7238230680,brand=Total | operator=Total | name=Total,109,
93160006,Noisy-le-Grand,4 Boulevard du Maréchal Foch,13.89,Intermarché,recognised,node/1676123466,brand=Intermarché | name=Intermarché,121,
91270002,VIGNEUX-SUR-SEINE,5 Avenue Henri Barbusse,13.93,Intermarché,recognised,way/145735563,brand=Intermarché | operator=Groupement des Mousquetaires | name=Intermarché Super,21,
93120005,LA COURNEUVE,AUTOROUTE A1 - AIRE DE LA COURNEUVE OUEST - SENS LILLE/PARIS,14.01,TotalEnergies,recognised,node/25214713,brand=TotalEnergies | name=TotalEnergies,42,
94470002,Boissy-Saint-Léger,36 Avenue du Général Leclerc,14.02,BP,recognised,way/100219269,brand=BP | name=BP,39,
