day,fuel,ceiling,nat_n,nat_cap,nat_below,loc_n,loc_cap,loc_below
2025-05-03,SP98,1.99,7966,9,7832,65,0,65
2025-05-04,E10,1.99,7425,1,7386,67,0,67
2025-05-04,Gazole,2.25,9471,0,9470,72,0,72
2025-05-04,SP98,1.99,7966,9,7832,65,0,65
2025-05-05,E10,1.99,7425,1,7396,67,0,67
2025-05-05,Gazole,2.25,9473,0,9473,72,0,72
2025-05-05,SP98,1.99,7969,9,7835,65,0,65
2025-05-06,E10,1.99,7427,1,7398,67,0,67
2025-05-06,Gazole,2.25,9475,0,9475,72,0,72
2025-05-06,SP98,1.99,7970,7,7848,65,0,65
2025-05-07,E10,1.99,7429,1,7390,67,0,67
2025-05-07,Gazole,2.25,9478,0,9478,72,0,72
2025-05-07,SP98,1.99,7974,5,7857,65,0,65
2025-05-08,E10,1.99,7428,1,7391,67,0,67
2025-05-08,Gazole,2.25,9478,0,9478,72,0,72
2025-05-08,SP98,1.99,7975,5,7859,65,0,65
2025-05-09,E10,1.99,7429,1,7390,67,0,67
2025-05-09,Gazole,2.25,9481,0,9481,72,0,72
2025-05-09,SP98,1.99,7979,5,7863,65,0,65
2025-05-10,E10,1.99,7430,1,7391,67,0,67
2025-05-10,Gazole,2.25,9481,0,9481,72,0,72
2025-05-10,SP98,1.99,7980,6,7862,65,0,65
2025-05-11,E10,1.99,7427,1,7388,67,0,67
2025-05-11,Gazole,2.25,9479,0,9479,72,0,72
2025-05-11,SP98,1.99,7977,6,7859,65,0,65
2025-05-12,E10,1.99,7428,1,7389,67,0,67
2025-05-12,Gazole,2.25,9482,0,9482,72,0,72
2025-05-12,SP98,1.99,7978,5,7859,65,0,65
2025-05-13,E10,1.99,7431,1,7392,67,0,67
2025-05-13,Gazole,2.25,9485,0,9485,72,0,72
2025-05-13,SP98,1.99,7981,9,7849,65,0,65
2025-05-14,E10,1.99,7432,1,7393,67,0,67
2025-05-14,Gazole,2.25,9487,0,9487,72,0,72
2025-05-14,SP98,1.99,7983,18,7830,65,0,65
2025-05-15,E10,1.99,7432,1,7393,67,0,67
2025-05-15,Gazole,2.25,9490,0,9490,72,0,72
2025-05-15,SP98,1.99,7985,27,7806,65,0,65
2025-05-16,E10,1.99,7434,1,7391,67,0,67
2025-05-16,Gazole,2.25,9492,0,9492,72,0,72
2025-05-16,SP98,1.99,7986,27,7798,65,0,65
2025-05-17,E10,1.99,7435,1,7392,67,0,67
2025-05-17,Gazole,2.25,9493,0,9493,72,0,72
2025-05-17,SP98,1.99,7987,27,7801,65,0,65
2025-05-18,E10,1.99,7435,1,7392,67,0,67
2025-05-18,Gazole,2.25,9491,0,9491,72,0,72
2025-05-18,SP98,1.99,7986,27,7800,65,0,65
2025-05-19,E10,1.99,7436,1,7395,67,0,67
2025-05-19,Gazole,2.25,9493,0,9493,72,0,72
2025-05-19,SP98,1.99,7987,27,7800,65,0,65
2025-05-20,E10,1.99,7439,1,7400,67,0,67
2025-05-20,Gazole,2.25,9494,0,9494,72,0,72
2025-05-20,SP98,1.99,7988,21,7809,65,0,65
2025-05-21,E10,1.99,7441,1,7402,67,0,67
2025-05-21,Gazole,2.25,9495,0,9495,72,0,72
2025-05-21,SP98,1.99,7989,14,7820,65,0,65
2025-05-22,E10,1.99,7442,1,7403,67,0,67
2025-05-22,Gazole,2.25,9495,0,9495,72,0,72
2025-05-22,SP98,1.99,7989,14,7820,65,0,65
2025-05-23,E10,1.99,7443,2,7400,67,0,67
2025-05-23,Gazole,2.25,9496,0,9496,72,0,72
2025-05-23,SP98,1.99,7991,14,7823,65,0,65
2025-05-24,E10,1.99,7443,2,7400,67,0,67
2025-05-24,Gazole,2.25,9496,0,9496,72,0,72
2025-05-24,SP98,1.99,7991,9,7832,65,0,65
2025-05-25,E10,1.99,7443,2,7400,67,0,67
2025-05-25,Gazole,2.25,9496,0,9496,72,0,72
2025-05-25,SP98,1.99,7991,9,7835,65,0,65
2025-05-26,E10,1.99,7443,2,7402,67,0,67
2025-05-26,Gazole,2.25,9497,0,9497,72,0,72
2025-05-26,SP98,1.99,7992,9,7839,65,0,65
2025-05-27,E10,1.99,7447,1,7408,67,0,67
2025-05-27,Gazole,2.25,9497,0,9497,72,0,72
2025-05-27,SP98,1.99,7992,9,7836,65,0,65
2025-05-28,E10,1.99,7448,1,7409,67,0,67
2025-05-28,Gazole,2.25,9501,0,9501,72,0,72
2025-05-28,SP98,1.99,7996,10,7842,65,0,65
2025-05-29,E10,1.99,7448,1,7409,67,0,67
2025-05-29,Gazole,2.25,9501,0,9501,72,0,72
2025-05-29,SP98,1.99,7996,10,7840,65,0,65
2025-05-30,E10,1.99,7448,3,7406,67,0,67
2025-05-30,Gazole,2.25,9501,0,9500,72,0,72
2025-05-30,SP98,1.99,7996,10,7842,65,0,65
2025-05-31,E10,1.99,7448,3,7406,67,0,67
2025-05-31,Gazole,2.25,9500,0,9499,72,0,72
2025-05-31,SP98,1.99,7995,10,7841,65,0,65
2025-06-01,E10,1.99,7448,3,7406,67,0,67
2025-06-01,Gazole,2.25,9500,0,9499,72,0,72
2025-06-01,SP98,1.99,7995,10,7841,65,0,65
2025-06-02,E10,1.99,7450,1,7411,67,0,67
2025-06-02,Gazole,2.25,9503,0,9502,72,0,72
2025-06-02,SP98,1.99,7997,10,7844,65,0,65
2025-06-03,E10,1.99,7453,1,7415,67,0,67
2025-06-03,Gazole,2.25,9506,0,9505,72,0,72
2025-06-03,SP98,1.99,7997,10,7843,65,0,65
2025-06-04,E10,1.99,7453,1,7415,67,0,67
2025-06-04,Gazole,2.25,9507,0,9505,72,0,72
2025-06-04,SP98,1.99,7997,9,7841,65,0,65
2025-06-05,E10,1.99,7455,1,7417,67,0,67
2025-06-05,Gazole,2.25,9508,0,9507,72,0,72
2025-06-05,SP98,1.99,7999,9,7845,65,0,65
2025-06-06,E10,1.99,7455,1,7414,67,0,67
2025-06-06,Gazole,2.25,9508,0,9507,72,0,72
2025-06-06,SP98,1.99,7999,9,7845,65,0,65
2025-06-07,E10,1.99,7454,1,7413,67,0,67
2025-06-07,Gazole,2.25,9510,0,9509,72,0,72
2025-06-07,SP98,1.99,7999,10,7845,65,0,65
2025-06-08,E10,1.99,7454,1,7413,67,0,67
